BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
X - 16940		98			39523	LC/MS (-)	1694.1	204.98081				-1.441548205	1.985574423	-0.812136005	3.323402601	
gamma-glutamylphenylalanine	376	200	Peptide	Gamma-glutamyl Amino Acid	33422	LC/MS (+)	2846	295.12885	7432-24-8	111299		-0.043518916	0.512111575	-2.467090346	1.807363671	HMDB00594
sphinganine	1470	191	Lipid	Sphingolipid Metabolism	17769	LC/MS (+)	5175	302.30536	3102-56-5	3126	C00836	0.039096353	0.702349052	-2.003154651	2.582973823	HMDB00269
X - 12442		200			33884	LC/MS (-)	5286	223.17091				-0.051727219	1.300784037	-2.16700672	2.283053545	
X - 12231		121			33653	LC/MS (-)	4186	352.08536				-1.417857293	2.271650102	-0.824020082	2.340202217	
3-hydroxybutyrate (BHBA)	1173	200	Lipid	Ketone Bodies	542	GC/MS	1203.5	116.9	625-72-9	441	C01089	0.691348295	1.921032198	-1.619551475	3.678250502	HMDB00357
X - 14193		111			36119	LC/MS (+)	1818	283.12911				-0.92738103	1.49526154	-0.825732075	2.422598306	
X - 12096		175			33511	LC/MS (+)	1578	174.12364				-0.67317332	1.649033145	-1.612983286	2.271334403	
hydroxybutyrylcarnitine*	1152	200	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	43264	LC/MS (+)	1475	248.14925		53481617		0.393630759	1.647347826	-1.508962671	3.495276877	HMDB13127
aspartylphenylalanine	442	198	Peptide	Dipeptide	22175	LC/MS (+)	2538	281.1132	13433-09-5	93078		0.166404112	1.138924119	-2.503590032	3.956310938	HMDB00706
docosapentaenoate (DPA; 22:5n3)	984	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	32504	LC/MS (-)	5574	329.2486	2234-74-4	6441454	C16513	-0.143873518	0.989215802	-2.641085617	2.584405212	HMDB01976
X - 12715		97			34375	LC/MS (+)	2067	281.11327				-2.941782062	2.439592957	-0.834192586	3.009507015	
X - 17453		164			40282	LC/MS (+)	4000.6	591.3165				-0.283444677	2.234855937	-1.6329667	2.478043505	
2-hydroxy-3-methylvalerate	255	103	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	36746	LC/MS (-)	1787	131.07136	488-15-3	164623		-0.885382482	1.410576112	-1.090370711	2.364267866	HMDB00317
X - 15458		198			37706	LC/MS (+)	1820	302.19608				0.521596502	2.032008404	-1.100709662	3.525792746	
X - 11444		183			32761	LC/MS (-)	3983	541.26452				-0.433244844	1.490642223	-2.499824731	1.719448416	
X - 11438		187			32755	LC/MS (-)	3092	241.14412				-0.306207136	2.004733916	-1.963798048	1.734042609	
X - 12252		108			33674	LC/MS (-)	1445	188.09301				-0.522973343	0.832983559	-0.848607254	3.256718732	
trans-urocanate	57	200	Amino Acid	Histidine Metabolism	607	LC/MS (+)	1119	139.05021	104-98-3	736715	C00785	0.096951472	1.197250882	-1.534950779	6.598700966	HMDB00301
X - 11904		92			33249	LC/MS (-)	3612	226.0175				-0.684630064	1.700808292	-0.85369446	2.373458744	
2-eicosatrienoyl-GPC* (20:3)*	1365	200	Lipid	Lysolipid	35884	LC/MS (+)	5565	546.35542				-0.073902702	0.809890931	-1.945715479	2.387156507	
X - 11540		200			32857	LC/MS (+)	5150	342.26418				0.136288366	1.544936309	-2.264594333	2.635000857	
X - 18987		107			42387	LC/MS (+)	5411.6	399.24927				-0.719671003	0.815152891	-0.856716591	3.139040797	
1-palmitoylplasmenylethanolamine*	1377	199	Lipid	Lysolipid	39270	LC/MS (-)	6153	436.28334				0.163157975	0.617170476	-2.056169109	2.368814532	
valylphenylalanine	684	87	Peptide	Dipeptide	40688	LC/MS (+)	2790	265.15467	3918-92-1	6993119;6993120		-2.892063887	3.202252531	-0.863926393	2.313138298	
X - 17257		121			39965	LC/MS (+)	5616.7	254.24741				-6.19319007	5.654441765	-0.865317683	2.130677422	
X - 18770		110			42135	LC/MS (-)	3637.7	307.02756				-0.913781863	1.009273618	-0.865406725	2.063020103	
gamma-glutamylalanine	366	200	Peptide	Gamma-glutamyl Amino Acid	37063	LC/MS (+)	1108	219.09755	5875-41-2	440103		-0.108047991	1.154266092	-4.834734245	1.618312021	
lysine	69	200	Amino Acid	Lysine Metabolism	1301	LC/MS (+)	603	147.11281	56-87-1	5962	C00047	0.063825228	0.434743638	-2.134993383	2.077551791	HMDB00182
X - 19411		200			42887	LC/MS (-)	1308	383.1225				0.168437872	0.632515137	-2.346063567	1.937108892	
2-hydroxyoctanoate	1177	199	Lipid	"Fatty Acid, Monohydroxy"	22036	LC/MS (-)	3781	159.10266	617-73-2	94180		0.149995059	0.880355892	-1.741475222	2.678627535	HMDB02264
beta-alanine	2218	198	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	35838	GC/MS	1582.3	334.1	56-41-7;107-95-9	239	C00099	0.432881198	1.232812533	-2.112730455	3.576476268	HMDB00056
phenylalanylglycine	582	200	Peptide	Dipeptide	41370	LC/MS (+)	2120.1	223.10772	721-90-4	98207		-0.114659441	0.849955496	-2.620957103	3.354798038	
gamma-glutamyltyrosine	379	200	Peptide	Gamma-glutamyl Amino Acid	2734	LC/MS (+)	2073	311.12377	7432-23-7	94340		0.066788208	0.677025153	-2.226464922	2.48947494	HMDB11741
sorbose	841	111	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	563	GC/MS	1800.9	437.1	87-79-6	441484	C00247	-1.158938974	1.570557088	-0.877864573	2.870778837	HMDB01266
methionine	268	200	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	1302	LC/MS (+)	1252	150.05833	63-68-3	6137	C00073	0.082575832	0.42123214	-1.770029382	2.741568478	HMDB00696
X - 15306		121			37553	LC/MS (+)	2994	275.14227				-3.574018508	4.174918651	-0.879835048	2.376990975	
X - 11852		106			33197	LC/MS (-)	3324	232.99435				-0.820733471	2.584368883	-0.883108101	2.411143135	
X - 11837		109			33248	LC/MS (-)	2484	283.08252				-1.101373572	1.626105507	-0.883488386	2.619755702	
X - 13866		122			35761	LC/MS (-)	2406	253.10763				-0.762796492	1.011642398	-0.883795044	2.935344956	
5-hydroxyindoleacetate	201	193	Amino Acid	Tryptophan Metabolism	437	LC/MS (+)	2549	192.06552	54-16-0	1826	C05635	0.177452407	0.79090875	-2.23200812	2.563936346	HMDB00763
X - 12739		107			34349	LC/MS (-)	2414	241.11879				-0.431941266	1.122035685	-0.889413213	3.192151498	
X - 11452		131			32769	LC/MS (-)	4109	352.08534				-1.405984139	2.496799197	-0.891649227	2.267526055	
guanidinosuccinate	351	84	Amino Acid	Guanidino and Acetamido Metabolism	32446	LC/MS (+)	737	176.06659	6133-30-8	97856	C03139	-0.987496276	1.206579288	-0.893435534	2.350891966	HMDB03157
N-acetylvaline	259	181	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1591	LC/MS (-)	1697	158.08226	96-81-1	66789		-0.016653187	0.523440146	-1.595227611	2.156825388	HMDB11757
X - 17138		200			39802	LC/MS (+)	4104.9	310.20065				-0.277460669	1.088474663	-2.447495817	2.31995563	
3-hydroxyhippurate	2354	108	Xenobiotics	Benzoate Metabolism	39600	LC/MS (-)	1670	194.04588	1637-75-8	450268		-1.188276046	1.633982123	-0.913075358	2.049455248	HMDB06116
X - 11485		106			32802	LC/MS (-)	4478	378.10095				-1.559116006	1.981780783	-0.915113113	2.272396271	
1-eicosapentaenoylglycerophosphocholine (20:5n3)*	1368	200	Lipid	Lysolipid	44563	LC/MS (+)	5519.6	542.32412				-0.508867161	1.027675371	-1.899334773	3.273413985	
X - 12116		108			33531	LC/MS (+)	1640	286.12851				-0.6245512	2.138257201	-0.92427049	3.855147206	
X - 20588		130			45189	LC/MS (+)	2263.9	274.11844				-1.180064337	1.429463314	-0.929607552	4.228933016	
X - 11483		112			32800	LC/MS (-)	4443	505.20716				-0.898384024	1.828804486	-0.930569783	3.352033551	
xylonate	777	198	Carbohydrate	Pentose Metabolism	35638	GC/MS	1722	292	73686-31-7	6602431	C05411	-0.165508996	0.868148277	-2.576040374	1.853029073	
alpha-hydroxyisocaproate	265	108	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	22132	LC/MS (-)	1854	131.07136	10303-64-7	83697	C03264	-0.959335164	1.129413987	-0.937891762	2.090131988	HMDB00746
N-acetylserine	10	200	Amino Acid	"Glycine, Serine and Threonine Metabolism"	37076	LC/MS (+)	1012	148.06044	97-14-3	65249		0.10702474	0.494193771	-1.865296403	3.159960274	HMDB02931
1-eicosenoylglycerophosphocholine (20:1n9)*	1363	200	Lipid	Lysolipid	44560	LC/MS (+)	5882.7	550.38672				-0.161215394	0.891149222	-2.309303089	2.802851591	
X - 11552		200			32869	LC/MS (+)	5408	200.20107				0.489611135	1.498832401	-1.452322483	2.296843835	
guanosine	2169	122	Nucleotide	"Purine Metabolism, Guanine containing"	1573	LC/MS (+)	1676	284.09895	118-00-3	6802	C00387	-1.00420186	1.542319804	-0.995955024	2.210909214	HMDB00133
2-aminooctanoate	1112	200	Lipid	"Fatty Acid, Amino"	43343	LC/MS (+)	3384	160.1332	644-90-6	69522		0.05288897	0.972416787	-2.61584726	3.567548628	HMDB00991
1-palmitoyl-GPC (16:0)	1344	200	Lipid	Lysolipid	33955	LC/MS (+)	5671	496.33977	17364-16-8	86554		-0.034074932	0.484654743	-2.262400596	2.930563386	
X - 18249		198			41353	LC/MS (-)	4403.7	220.9416				0.301559731	0.812620341	-3.842824242	2.210143522	
dimethyl sulfone	3079	200	Xenobiotics	Chemical	43424	LC/MS (+)	1024.3	95.01613	67-71-0	6213	C11142	0.044001792	1.332469531	-2.38089761	3.127069942	HMDB04983
X - 11945		108			33290	LC/MS (+)	1896	283.10366				-0.566471497	0.660426621	-0.963246374	2.216081653	
X - 12410		140			33838	LC/MS (-)	2130	274.03914				-0.456404271	1.409493788	-0.96702448	4.71422331	
tryptophylphenylalanine	653	193	Peptide	Dipeptide	41399	LC/MS (+)	3530	352.16557	1748091	4427709		-0.114447867	0.570129326	-2.797868009	2.56974324	
5-methyluridine (ribothymidine)	2204	190	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	35136	LC/MS (-)	1774	257.07791	1463-10-1	445408		-0.085064838	0.708455374	-2.132347289	2.560513759	HMDB00884
imidazole propionate	60	198	Amino Acid	Histidine Metabolism	40730	LC/MS (+)	1011.7	141.06586	1074-59-5	70630		0.453678416	1.384790435	-1.930238095	2.420155694	HMDB02271
X - 17145		101			39809	LC/MS (-)	3844.7	257.1753				-1.223860534	1.660252576	-0.977426648	2.169841746	
N-acetylisoleucine	248	97	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	33967	LC/MS (+)	3370	174.11247	3077-46-1	2802421		-0.44324289	0.641147526	-0.98014551	2.415327165	
X - 12565		175			34132	LC/MS (+)	1724	254.16145				0.264554121	2.046660717	-1.712242358	2.923222299	
myristoleate (14:1n5)	949	200	Lipid	Long Chain Fatty Acid	32418	LC/MS (-)	5338	225.186	544-64-9	5281119	C08322	0.118338418	1.499285848	-2.302516788	1.790299848	HMDB02000
X - 19350		200			42826	LC/MS (-)	1149	394.12851				0.149637044	0.602791485	-1.793262696	3.131258532	
1-eicosadienoyl-GPC* (20:2)*	1360	200	Lipid	Lysolipid	33871	LC/MS (+)	5696	548.37107				-0.142986085	0.835720365	-2.033567927	3.341098684	
X - 14056		200			35977	LC/MS (+)	914	192.03252				-0.193008064	0.985212997	-2.687747243	2.306280218	
X - 14632		169			36559	LC/MS (-)	4132	287.612				-0.026339176	1.859194617	-1.001310267	3.46665931	
X - 13698		120			35507	LC/MS (+)	1900	413.12365				-0.696634122	0.931803041	-1.003754601	2.671801909	
linoleamide (18:2n6)	1104	137	Lipid	"Fatty Acid, Amide"	32455	LC/MS (+)	5639	280.26349	766652	6435901		-4.739971652	5.126555297	-1.004294177	2.005172292	
3-hydroxypropanoate	1182	199	Lipid	"Fatty Acid, Monohydroxy"	42103	GC/MS	1187.1	177.1	503-66-2	68152	C01013	-0.024341223	0.690459427	-2.049970149	2.339240485	HMDB00700
X - 13543		144			35321	LC/MS (+)	1096	484.11714				-1.401167657	1.328694473	-1.009400167	2.853376827	
stearidonate (18:4n3)	982	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	33969	LC/MS (-)	5381	275.20165	111174-40-4	5312508	C16300	-0.424814553	0.961535133	-2.834553097	3.498867021	HMDB06547
"1,2-propanediol"	3009	200	Xenobiotics	Chemical	38002	GC/MS	1041	117	57-55-6	1030	C00583	0.489074976	1.869904931	-1.270224194	3.611002949	HMDB01881
octadecanedioate (C18)	1073	198	Lipid	"Fatty Acid, Dicarboxylate"	36754	LC/MS (-)	5033	313.23843	871-70-5	70095		0.148662791	0.753586538	-1.552787312	5.074992923	HMDB00782
hydroxyproline	322	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	32306	LC/MS (+)	705	132.06552	51-35-4	5810	C01157	0.172378937	0.467275075	-1.473897009	2.949318517	HMDB00725
1-eicosatrienoyl-GPC* (20:3)*	1364	200	Lipid	Lysolipid	33821	LC/MS (+)	5600	546.35542				0.006914045	0.924678724	-2.170958657	2.651187387	
eicosenoate (20:1n9 or 1n11)	970	199	Lipid	Long Chain Fatty Acid	33587	LC/MS (-)	5955	309.27982		5282768		0.126023205	0.845966585	-1.749975907	2.925786387	
13-HODE + 9-HODE	1204	200	Lipid	"Fatty Acid, Monohydroxy"	37752	LC/MS (-)	5270	295.22786				-0.038940953	0.780369653	-2.386764567	2.68459584	
aspartylleucine	440	200	Peptide	Dipeptide	40068	LC/MS (+)	2310	247.12885	3062-14-4	332962		0.14662176	0.799060382	-2.437821636	2.366447469	
X - 14228		185			36154	LC/MS (+)	1988	227.10219				0.144840571	0.998611139	-1.893379325	3.246404561	
X - 18920		135			42305	LC/MS (-)	4841.8	429.196				-0.190982944	2.105651633	-1.054687046	2.946053069	
3-methylglutaroylcarnitine (C6)	231	200	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	37060	LC/MS (+)	1900	290.15982	102673-95-0	128145		0.003191833	0.942255804	-1.945358949	2.874636697	HMDB00552
X - 17346		149			40814	LC/MS (+)	2158.9	255.09714				-0.687540059	1.249094491	-1.060458048	2.634457907	
2-oleoyl-GPC* (18:1)*	1354	200	Lipid	Lysolipid	35254	LC/MS (+)	5640	522.35542				-0.029609223	0.813500373	-1.620441965	2.911733669	
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	1076	182	Lipid	"Fatty Acid, Dicarboxylate"	31787	LC/MS (-)	2815	239.09249	86879-39-2	123979		0.098404275	2.49570043	-1.798777229	2.325472432	HMDB61112
tyrosylglutamine	662	125	Peptide	Dipeptide	41459	LC/MS (+)	1437	310.13975	28252-40-6			-0.428340317	0.933979689	-1.068128694	2.644239532	
X - 20676		119			45277	LC/MS (+)	2120.3	359.19193				-0.574359559	1.246409106	-1.071440864	2.656891053	
hydroquinone sulfate	2874	120	Xenobiotics	Drug	35322	LC/MS (-)	1383	188.98631	123-31-9	161220	C00530	-0.496646543	1.020352609	-1.072240653	3.152400874	HMDB02434
oleate (18:1n9)	958	200	Lipid	Long Chain Fatty Acid	1359	GC/MS	1984.4	339.2	112-80-1	445639	C00712	0.046100064	0.693997532	-2.266412424	2.780264557	HMDB00207
S-methylcysteine	288	152	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	39592	LC/MS (-)	862.8	134.02812	1187-84-4	24417		-0.126398065	0.913158176	-1.082037403	3.580543313	HMDB02108
N-formylmethionine	270	200	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	2829	LC/MS (-)	1541	176.03869	4289-98-9	439750	C03145	-0.013456873	0.458234313	-1.901218443	2.815413538	HMDB01015
X - 11407		167			32724	LC/MS (+)	3385	188.12798				0.117436527	2.921674916	-1.095782242	2.964478894	
X - 12230		162			33652	LC/MS (-)	3360	217.01719				-0.040174059	1.681868486	-1.472638088	3.317637654	
oleoylcarnitine (C18)	1166	200	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	35160	LC/MS (+)	5202	426.35779	38677-66-6	6441392;53477789		-0.101055387	0.995272024	-2.2562254	2.413182527	HMDB05065
10-heptadecenoate (17:1n7)	955	200	Lipid	Long Chain Fatty Acid	33971	LC/MS (-)	5558	267.23295	29743-97-3	5312435		0.244436911	1.186472483	-2.614878194	1.933401913	
gamma-glutamylglutamine	369	199	Peptide	Gamma-glutamyl Amino Acid	2730	LC/MS (+)	806	276.11902	10148-81-9	150914	C05283	-0.07160698	1.156979697	-5.272591592	1.589450702	HMDB11738
X - 12115		166			33530	LC/MS (+)	1587	260.149				-0.382701232	1.112704958	-1.658860396	2.484628743	
arabitol	785	200	Carbohydrate	Pentose Metabolism	38075	GC/MS	1687.5	307.1	7643-75-6	94154	C01904	-0.003079635	0.518220254	-1.870329377	2.426742686	HMDB01851
isoleucylglutamine	511	123	Peptide	Dipeptide	40019	LC/MS (+)	1530	260.16049				-0.772551663	1.430705692	-1.115241436	2.363065086	
glutaroylcarnitine (C5)	79	199	Amino Acid	Lysine Metabolism	35439	LC/MS (+)	1565	276.14417	102636-82-8	71464488		0.09957317	0.649388484	-3.64955044	2.641452304	HMDB13130
caprate (10:0)	942	200	Lipid	Medium Chain Fatty Acid	1642	LC/MS (-)	5092	171.13905	112-37-8	2969	C01571	0.185245477	1.301787077	-1.827274083	3.119506571	HMDB00511
succinylcarnitine (C4)	922	198	Energy	TCA Cycle	37058	LC/MS (+)	1401	262.12852				0.035042244	0.585875312	-2.142348069	3.056775106	
valylglycine	678	191	Peptide	Dipeptide	40475	LC/MS (+)	1330	175.10772	686-43-1	136487		-0.258751969	1.650234198	-2.073488164	1.90876497	
2-linoleoyl-GPC* (18:2)*	1356	200	Lipid	Lysolipid	35257	LC/MS (+)	5544	520.33977				-0.111473946	0.676060268	-2.304147839	2.288910095	
X - 18739		200			42076	LC/MS (+)	5076.6	370.2944				-0.013219634	1.458221804	-2.165815763	2.362056643	
asparagine	29	200	Amino Acid	Alanine and Aspartate Metabolism	34283	GC/MS	1854	232.2	70-47-3	6267	C00152	0.084745962	0.498478474	-2.52651422	2.371669978	HMDB00168
ergothioneine	2610	179	Xenobiotics	Food Component/Plant	37459	LC/MS (+)	847	230.09578	58511-63-0	3032311	C05570	0.086125518	1.897514752	-2.566228194	1.91560611	HMDB03045
X - 11400		132			32717	LC/MS (+)	2855	828.09043				-0.635729808	1.193400443	-1.149053861	2.288524928	
N4-acetylcytidine	2230	193	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	35130	LC/MS (+)	2030	286.10337	3768-18-1	107461		-0.24336382	1.129458313	-2.45700223	2.387181272	HMDB05923
10-undecenoate (11:1n1)	944	200	Lipid	Medium Chain Fatty Acid	32497	LC/MS (-)	5086	183.13905	1333-28-4			0.102889728	1.385784417	-2.074545413	1.676160833	
X - 15667		184			37916	LC/MS (+)	2330	202.08654				0.317755588	1.334093471	-2.941929969	2.059773299	
2-palmitoyl-GPC* (16:0)*	1345	200	Lipid	Lysolipid	35253	LC/MS (+)	5604	496.33977		15061532		-0.059241155	0.788811387	-1.901625016	3.00876968	
isoleucylglycine	512	198	Peptide	Dipeptide	40008	LC/MS (+)	1732	189.12337	868-28-0	342532		-0.083588716	1.276783408	-2.759036455	1.717338839	
X - 12524		200			34062	LC/MS (-)	5567	205.15937				-0.056968895	0.449180816	-2.258436313	2.297353042	
gamma-glutamylmethionine	375	200	Peptide	Gamma-glutamyl Amino Acid	37539	LC/MS (+)	1993	279.10092	17663-87-5	7009567		0.113567993	1.012494524	-3.931149672	2.066908543	
tyrosine	106	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	1299	LC/MS (+)	1516	182.08117	60-18-4	6057	C00082	0.075166076	0.431631652	-1.838999726	2.026482006	HMDB00158
X - 11850		128			33195	LC/MS (-)	3228	226.01748				-1.051270655	2.208466939	-1.172160414	2.382759515	
phenylalanyltryptophan	590	200	Peptide	Dipeptide	41377	LC/MS (+)	3349	352.16557	24587-41-5			-0.10138235	0.720937262	-3.067514184	1.837512699	
X - 12216		143			33637	LC/MS (-)	1701	227.99676				-1.193355814	2.036822064	-1.179691856	2.00715282	
adipate	1056	200	Lipid	"Fatty Acid, Dicarboxylate"	21134	LC/MS (+)	2460	147.06519	124-04-9	196	C06104	0.057410208	0.325075011	-2.742189422	2.640439485	HMDB00448
quinolinate	2248	156	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1899	GC/MS	1697.7	296.1	89-00-9	1066	C03722	-0.415475547	1.106376698	-1.281971841	1.997833032	HMDB00232
X - 12026		136			33377	LC/MS (-)	1683	180.05272				-0.424649863	0.830607158	-1.185796566	1.997964127	
isoleucylalanine	506	158	Peptide	Dipeptide	40046	LC/MS (+)	1686	203.13902	24787-73-3	5246009;5246010		-0.795277212	1.545589633	-1.19492118	2.251735943	
X - 10346		142			33782	LC/MS (-)	3989	259.02761				-1.866373801	3.200626244	-1.196595085	1.805234236	
glutamine	37	199	Amino Acid	Glutamate Metabolism	53	LC/MS (+)	684	147.07642	56-85-9	5961	C00064	0.024345983	0.355300832	-2.297294961	2.298986241	HMDB00641
X - 19437		200			42913	LC/MS (-)	1150.1	397.148				-0.03750708	0.590995182	-1.713119917	2.301080245	
mannose	845	200	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	584	GC/MS	1753.5	204	3458-28-4	18950	C00159	0.1005766	0.480265482	-2.718429316	3.212365571	HMDB00169
3-methylhistidine	53	120	Amino Acid	Histidine Metabolism	15677	LC/MS (-)	911	168.07785	368-16-1	64969	C01152	-0.123860668	2.595498767	-1.225440791	2.344320864	HMDB00479
docosatrienoate (22:3n3)	986	199	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	32417	LC/MS (-)	5825	333.2799	59708-86-0	5312556	C16534	0.137067249	0.780097058	-2.976792542	1.939653281	HMDB02823
X - 15472		200			37720	LC/MS (+)	3653	204.12295				0.069144899	0.690025425	-1.783671663	4.105712511	
3-aminoisobutyrate	2246	139	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1566	GC/MS	1252.2	102	10569-72-9;214139-20-5	64956	C05145	-0.628608013	1.168567291	-1.235552465	1.845092543	HMDB03911
X - 12707		162			34317	LC/MS (-)	1260	249.00695				-0.232588168	0.823924783	-1.238505382	3.293343044	
X - 17335		168			40133	LC/MS (+)	4521.7	248.1674				-0.142876185	0.992261413	-1.703115181	2.05925563	
glycolate (hydroxyacetate)	3086	200	Xenobiotics	Chemical	15737	GC/MS	1119	177	79-14-1	757	C00160	0.142110104	0.408949249	-2.65760504	2.265640099	HMDB00115
4-hydroxyphenylpyruvate	115	150	Amino Acid	Phenylalanine and Tyrosine Metabolism	1669	LC/MS (-)	1716	179.03498	156-39-8	979	C01179	-0.527632204	0.900838878	-1.251352175	2.799007441	HMDB00707
diisopropanolamine	3078	154	Xenobiotics	Chemical	21023	LC/MS (+)	938	134.11756	110-97-4	8086		0.144016965	1.776271854	-1.255740548	2.224537167	
ribulose	770	137	Carbohydrate	Pentose Metabolism	35855	GC/MS	1662	306.1	488-84-6	151261	C00309	-0.707625391	1.247597801	-1.257179502	1.894927654	HMDB00621
"bilirubin (E,Z or Z,E)*"	2323	162	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	34106	LC/MS (+)	4958	585.27076		5799469		-0.995479981	1.958821462	-1.260179739	2.363058674	
lathosterol	1500	156	Lipid	Sterol	39864	GC/MS	2337	255.2	80-99-9	65728	C01189	-0.579935016	0.877766656	-1.260811598	2.218781922	HMDB01170
X - 17337		200			40135	LC/MS (+)	4692.5	328.24793				0.012988294	1.317304232	-2.684341509	1.710632758	
X - 12303		131			33725	LC/MS (-)	2034	176.98576				-0.231321556	0.735108625	-1.278092486	2.830871184	
tryptophan	176	200	Amino Acid	Tryptophan Metabolism	54	LC/MS (+)	2445	205.09716	73-22-3	6305	C00078	0.065370802	0.365622178	-2.909802897	2.674908583	HMDB00929
X - 11876		157			33221	LC/MS (-)	5257	635.38007				-0.659798863	1.471975081	-1.282972925	2.570904138	
X - 15503		153			37751	LC/MS (-)	1882	193.06186				-0.013711012	0.794721585	-1.284256784	2.975580175	
X - 11521		200			32838	LC/MS (+)	3650	286.20172				-0.368163902	1.118820003	-2.565506291	2.006123117	
linolenate (18:3n3 or 3n6)	991	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	34035	LC/MS (-)	5450	277.2173		5280934	C06427	-0.129171454	0.847284977	-2.696101647	2.132681578	
10-nonadecenoate (19:1n9)	965	200	Lipid	Long Chain Fatty Acid	33972	LC/MS (-)	5775	295.26425	73033-09-7	5312513		0.339120784	1.200651778	-2.222976019	2.395219697	HMDB13622
X - 16577		133			39150	LC/MS (-)	4639.3	169.12376				-0.412293963	0.942269088	-1.313658655	2.308563664	
X - 11299		142			32616	LC/MS (-)	4893	507.22275				-1.070981225	3.40302889	-1.314904369	1.811202517	
2-docosahexaenoylglycerophosphoethanolamine*	1398	183	Lipid	Lysolipid	34258	LC/MS (-)	5600	524.2783				-0.17342898	1.193248521	-2.210349858	2.138783396	
sphingosine 1-phosphate	1478	200	Lipid	Sphingolipid Metabolism	34445	LC/MS (+)	5512	380.25604	26993-30-6	5283560	C06124	0.046121731	0.790073185	-1.973028721	2.872833943	HMDB00277
X - 17327		138			40188	LC/MS (-)	3037.5	255.135				-0.399855714	2.053100507	-1.323318124	2.290236099	
acetylcarnitine (C2)	1151	200	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	32198	LC/MS (+)	1203	204.12304	5080-50-2	1	C02571	-0.192189526	0.763945747	-2.236939593	3.531231025	HMDB00201
X - 02269		120			32549	LC/MS (-)	1551	255.08692				-1.322621788	2.418205084	-1.328786707	2.465896524	
docosapentaenoate (n6 DPA; 22:5n6)	996	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	37478	LC/MS (-)	5625	329.2486	25182-74-5	6441454	C16513	0.123210264	0.817756028	-2.268767361	1.939028631	HMDB13123
X - 17735		153			40835	LC/MS (+)	4860	274.18301				-0.52352179	1.202625234	-1.421020916	1.92703497	
docosadienoate (22:2n6)	997	199	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	32415	LC/MS (-)	6017	335.29555	7370-49-2	5282807	C16533	0.122002802	0.745283476	-2.028923357	2.540808863	
X - 12093		197			33508	LC/MS (+)	1063	203.13925				0.064338073	1.498374294	-2.008382729	3.035625126	
phenylalanine	93	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	64	LC/MS (+)	2056	166.08626	63-91-2	6140	C00079	0.060347582	0.262408218	-2.552674524	2.448213723	HMDB00159
X - 02249		200			32587	LC/MS (-)	4025	267.12323				-0.218471297	0.993194497	-4.171751175	1.7688402	
X - 11469		198			32786	LC/MS (+)	3874	239.09164				0.740981407	1.854550367	-2.58160241	2.624749073	
9-methyluric acid	2128	172	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	43514	GC/MS	1923	383.1	55441-71-9	108714		-0.547859711	1.021221906	-1.489752746	3.213124566	
N-acetyl-3-methylhistidine*	54	138	Amino Acid	Histidine Metabolism	43256	LC/MS (+)	935	212.10297	37841-04-6			-0.42822256	1.734704776	-1.354259217	1.977405628	
mandelate	2357	152	Xenobiotics	Benzoate Metabolism	22160	GC/MS	1495	178.9	90-64-2	1292	C01984	-1.690382615	2.12508932	-1.358063832	1.168809657	HMDB00703
